Date Time,RelativeHumidity (% RH),Temperature (0°C ),rain rate (mm/hr),SpecificAttennuation(dB/km),TotalAttenuation(dB)
1/1/2019 0:00,59.2,18.1,0,0,0
1/1/2019 0:15,59.7,17.9,0,0,0
1/1/2019 0:30,60.2,17.7,0,0,0
1/1/2019 0:45,59.7,17.9,0,0,0
1/1/2019 1:00,60.2,17.6,0,0,0
1/1/2019 1:15,61.1,17.5,0,0,0
1/1/2019 1:30,62.2,17.4,0,0,0
1/1/2019 1:45,63.8,16.9,0,0,0
1/1/2019 2:00,65,16.6,0,0,0
1/1/2019 2:15,66,16.4,0,0,0
1/1/2019 2:30,66.5,16.4,0,0,0
1/1/2019 2:45,66.5,16.5,0,0,0
1/1/2019 3:00,66.1,16.8,0,0,0
1/1/2019 3:15,66.3,16.8,0,0,0
1/1/2019 3:30,66.4,16.7,0,0,0
1/1/2019 3:45,66,16.7,0,0,0
1/1/2019 4:00,66,16.7,0,0,0
1/1/2019 4:15,66.1,16.7,0,0,0
1/1/2019 4:30,66.5,16.6,0,0,0
1/1/2019 4:45,66.7,16.6,0,0,0
1/1/2019 5:00,66.9,16.7,0,0,0
1/1/2019 5:15,67.5,16.5,0,0,0
1/1/2019 5:30,68.2,16.3,0,0,0
1/1/2019 5:45,69.3,15.9,0,0,0
1/1/2019 6:00,71.7,15.2,0,0,0
1/1/2019 6:15,73.5,14.8,0,0,0
1/1/2019 6:30,74.5,14.6,0,0,0
1/1/2019 6:45,75.4,14.5,0,0,0
1/1/2019 7:00,75.6,14.6,0,0,0
1/1/2019 7:15,74.2,15.2,0,0,0
1/1/2019 7:30,71.2,16.2,0,0,0
1/1/2019 7:45,67.7,17.3,0,0,0
1/1/2019 8:00,65.3,18,0,0,0
1/1/2019 8:15,63.9,18.4,0,0,0
1/1/2019 8:30,62.4,18.9,0,0,0
1/1/2019 8:45,61,19.2,0,0,0
1/1/2019 9:00,59.2,19.8,0,0,0
1/1/2019 9:15,58.4,19.9,0,0,0
1/1/2019 9:30,57.2,20.1,0,0,0
1/1/2019 9:45,55.9,20.8,0,0,0
1/1/2019 10:00,55.6,21,0,0,0
1/1/2019 10:15,54.7,21.2,0,0,0
1/1/2019 10:30,52.1,21.7,0,0,0
1/1/2019 10:45,50.3,22,0,0,0
1/1/2019 11:00,48.4,22.5,0,0,0
1/1/2019 11:15,45.1,22.9,0,0,0
1/1/2019 11:30,44.1,22.9,0,0,0
1/1/2019 11:45,41.8,23.4,0,0,0
1/1/2019 12:00,39.5,23.6,0,0,0
1/1/2019 12:15,35.7,23.6,0,0,0
1/1/2019 12:30,34.6,24.1,0,0,0
1/1/2019 12:45,34,24.1,0,0,0
1/1/2019 13:00,35.2,24.5,0,0,0
1/1/2019 13:15,33.6,24.9,0,0,0
1/1/2019 13:30,31.3,25.1,0,0,0
1/1/2019 13:45,29.5,25.2,0,0,0
1/1/2019 14:00,28.3,25.4,0,0,0
1/1/2019 14:15,26.7,25.8,0,0,0
1/1/2019 14:30,27.2,25.6,0,0,0
1/1/2019 14:45,27,25.5,0,0,0
1/1/2019 15:00,27.7,25.7,0,0,0
1/1/2019 15:15,26.4,25.9,0,0,0
1/1/2019 15:30,25.3,26.1,0,0,0
1/1/2019 15:45,25.4,26,0,0,0
1/1/2019 16:00,25.9,25.6,0,0,0
1/1/2019 16:15,25.4,25.9,0,0,0
1/1/2019 16:30,24.3,25.6,0,0,0
1/1/2019 16:45,24.6,25.3,0,0,0
1/1/2019 17:00,23.5,25,0,0,0
1/1/2019 17:15,21.7,24.8,0,0,0
1/1/2019 17:30,20.1,24.5,0,0,0
1/1/2019 17:45,23.2,23.9,0,0,0
1/1/2019 18:00,24.5,23.3,0,0,0
1/1/2019 18:15,26.9,22.7,0,0,0
1/1/2019 18:30,27.7,22.2,0,0,0
1/1/2019 18:45,30.7,21.8,0,0,0
