#date,time,name,appointedType,baseLabelName,[number],item,unit,value,status,[number],item,unit,value,status,[number],item,unit,value,status,[number],item,unit,value,status,[number],item,unit,value,status,[number],item,unit,value,status,[number],item,unit,value,status,[number],item,unit,value,status,[number],item,unit,value,status,[number],item,unit,value,status,,,
7/5/2015,00:00-00:15,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-52.8,,[8],RX LEV1(MAX) [dBm],,-51.9,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.35,-0.35,0:15
7/5/2015,00:15-00:30,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53,,[8],RX LEV1(MAX) [dBm],,-51.9,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.45,-0.45,0:30
7/5/2015,00:30-00:45,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.1,,[8],RX LEV1(MAX) [dBm],,-51.8,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.45,-0.45,0:45
7/5/2015,00:45-01:00,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.1,,[8],RX LEV1(MAX) [dBm],,-51.9,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.5,-0.5,1:00
7/5/2015,01:00-01:15,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.2,,[8],RX LEV1(MAX) [dBm],,-51.7,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.45,-0.45,1:15
7/5/2015,01:15-01:30,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53,,[8],RX LEV1(MAX) [dBm],,-51.9,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.45,-0.45,1:30
7/5/2015,01:30-01:45,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53,,[8],RX LEV1(MAX) [dBm],,-51.8,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.4,-0.4,1:45
7/5/2015,01:45-02:00,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-53.2,,[8],RX LEV1(MAX) [dBm],,-51.8,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.5,-0.5,2:00
7/5/2015,02:00-02:15,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-52.8,,[8],RX LEV1(MAX) [dBm],,-51.9,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.35,-0.35,2:15
7/5/2015,02:15-02:30,Addis_Ababa_5::PMON Slot01 MODEM,Other,Addis_Ababa_5,[1],RF BBE,,0,,[2],RF ES,,0,,[3],RF SES,,0,,[4],RF SEP,,0,,[5],RF UAS,,0,,[6],RF OFS,,0,,[7],RX LEV1(MIN) [dBm],,-52.8,,[8],RX LEV1(MAX) [dBm],,-51.9,,[9],RX LEV2(MIN) [dBm],,0,N/A,[10],RX LEV2(MAX) [dBm],,0,N/A,-52.35,-0.35,2:30
