Date,Time,Precipitation_AddisAbeba (mm),Relative Humidity_AddisAbeba (% RH),Temperature_AddisAbeba (?C)
12/28/2011,12:00:00 PM,0,34.6,20.1
12/28/2011,12:15:00 PM,0,33.6,20.5
12/28/2011,12:30:00 PM,0,32.5,21.1
12/28/2011,12:45:00 PM,0,31.7,21.3
12/28/2011,1:00:00 PM,0,32.3,21.2
12/28/2011,1:15:00 PM,0,31.9,21.4
12/28/2011,1:30:00 PM,0,29.9,21.9
12/28/2011,1:45:00 PM,0,28.5,22.5
12/28/2011,2:00:00 PM,0,25.4,22.5
12/28/2011,2:15:00 PM,0,24.8,22.3
12/28/2011,2:30:00 PM,0,25.6,22.3
12/28/2011,2:45:00 PM,0,26.8,22.4
12/28/2011,3:00:00 PM,0,26.5,22.2
12/28/2011,3:15:00 PM,0,27.1,22.3
12/28/2011,3:30:00 PM,0,28.1,22
12/28/2011,3:45:00 PM,0,29.7,21.6
12/28/2011,4:00:00 PM,0,29.7,21.5
12/28/2011,4:15:00 PM,0,32.1,21.2
12/28/2011,4:30:00 PM,0,34.2,20.8
12/28/2011,4:45:00 PM,0,35.8,20.3
12/28/2011,5:00:00 PM,0,37,20
12/28/2011,5:15:00 PM,0,39.1,19.1
12/28/2011,5:30:00 PM,0,39,18.5
12/28/2011,5:45:00 PM,0,39.4,18
12/28/2011,6:00:00 PM,0,41,17.3
12/28/2011,6:15:00 PM,0,41.4,16.7
12/28/2011,6:30:00 PM,0,42.2,16.2
12/28/2011,6:45:00 PM,0,42.3,15.7
12/28/2011,7:00:00 PM,0,42.7,15.2
12/28/2011,7:15:00 PM,0,43.5,15
12/28/2011,7:30:00 PM,0,45.8,14.6
12/28/2011,7:45:00 PM,0,48.8,14.3
12/28/2011,8:00:00 PM,0,52.1,13.8
12/28/2011,8:15:00 PM,0,54.9,13.1
12/28/2011,8:30:00 PM,0,55.5,12.9
12/28/2011,8:45:00 PM,0,54.6,13.1
12/28/2011,9:00:00 PM,0,54.8,12.9
12/28/2011,9:15:00 PM,0,54.4,13
12/28/2011,9:30:00 PM,0,54.8,12.8
12/28/2011,9:45:00 PM,0,55,12.7
12/28/2011,10:00:00 PM,0,54.9,12.6
12/28/2011,10:15:00 PM,0,55.8,12.5
12/28/2011,10:30:00 PM,0,56.6,12.4
12/28/2011,10:45:00 PM,0,57.6,12.2
12/28/2011,11:00:00 PM,0,58.6,12.1
12/28/2011,11:15:00 PM,0,60.4,11.8
12/28/2011,11:30:00 PM,0,61.1,11.6
12/28/2011,11:45:00 PM,0,61.4,11.5
12/29/2011,12:00:00 AM,0,61.7,11.5
12/29/2011,12:15:00 AM,0,61.4,11.4
12/29/2011,12:30:00 AM,0,61.6,11.1
12/29/2011,12:45:00 AM,0,62.9,10.8
12/29/2011,1:00:00 AM,0,64.5,10.5
12/29/2011,1:15:00 AM,0,66.2,10.1
12/29/2011,1:30:00 AM,0,69.7,9.5
12/29/2011,1:45:00 AM,0,71.1,9.1
12/29/2011,2:00:00 AM,0,73.6,8.5
12/29/2011,2:15:00 AM,0,73.4,8.6
12/29/2011,2:30:00 AM,0,77.1,7.7
12/29/2011,2:45:00 AM,0,80.3,7.1
12/29/2011,3:00:00 AM,0,80.4,7.1
12/29/2011,3:15:00 AM,0,83.8,6.5
12/29/2011,3:30:00 AM,0,83.2,6.6
12/29/2011,3:45:00 AM,0,80.5,7
12/29/2011,4:00:00 AM,0,77.8,7.4
12/29/2011,4:15:00 AM,0,79.4,7
12/29/2011,4:30:00 AM,0,78.8,6.8
12/29/2011,4:45:00 AM,0,82.2,6
12/29/2011,5:00:00 AM,0,85.2,5.4
12/29/2011,5:15:00 AM,0,86.1,5.3
12/29/2011,5:30:00 AM,0,86.3,5.4
12/29/2011,5:45:00 AM,0,85,5.7
12/29/2011,6:00:00 AM,0,84.7,5.5
12/29/2011,6:15:00 AM,0,87,5
12/29/2011,6:30:00 AM,0,88.3,4.5
12/29/2011,6:45:00 AM,0,86.3,4.9
12/29/2011,7:00:00 AM,0,85.3,5.2
12/29/2011,7:15:00 AM,0,81.7,6.2
12/29/2011,7:30:00 AM,0,77.2,7.4
12/29/2011,7:45:00 AM,0,71.9,9.1
12/29/2011,8:00:00 AM,0,67.5,10.6
12/29/2011,8:15:00 AM,0,63.6,12.2
