Date,Time,Precipitation (mm),Relative Humidity (% RH),Temperature (?C)
5/29/2013,5:00 AM,0,99.8,14.2
5/29/2013,5:15 AM,0,99.9,13.9
5/29/2013,5:30 AM,0,100,13.7
5/29/2013,5:45 AM,0,99.9,13.8
5/29/2013,6:00 AM,0,99.9,13.7
5/29/2013,6:15 AM,0,99.8,13.7
5/29/2013,6:30 AM,0,99.8,13.8
5/29/2013,6:45 AM,0,98,14.1
5/29/2013,7:00 AM,0,96.7,14
5/29/2013,7:15 AM,0,96.2,14.2
5/29/2013,7:30 AM,0,94.3,14.9
5/29/2013,7:45 AM,0,88.8,16.1
5/29/2013,8:00 AM,0,88.1,16.6
5/29/2013,8:15 AM,0,91.8,15.8
5/29/2013,8:30 AM,0,88.5,16.6
5/29/2013,8:45 AM,0,85.6,17.4
5/29/2013,9:00 AM,0,82.9,18.1
5/29/2013,9:15 AM,0,81.3,19.1
5/29/2013,9:30 AM,0,80.5,19.8
5/29/2013,9:45 AM,0,78.2,20.3
5/29/2013,10:00 AM,0,73.9,21
5/29/2013,10:15 AM,0,69,21.3
5/29/2013,10:30 AM,0,67.1,21.7
5/29/2013,10:45 AM,0,63.5,22.2
5/29/2013,11:00 AM,0,66.1,22.4
5/29/2013,11:15 AM,0,65.8,22.6
5/29/2013,11:30 AM,0,63.8,23
5/29/2013,11:45 AM,0,64,23.6
5/29/2013,12:00 PM,0,62.5,23.7
5/29/2013,12:15 PM,0,64.9,24
5/29/2013,12:30 PM,0,63.3,24
5/29/2013,12:45 PM,0,62.9,24.4
5/29/2013,1:00 PM,0,58.9,24.6
5/29/2013,1:15 PM,0,58.7,25.3
5/29/2013,1:30 PM,0,54.9,25.3
5/29/2013,1:45 PM,0,54,25.8
5/29/2013,2:00 PM,0,49.8,26.1
5/29/2013,2:15 PM,0,43.7,26.2
5/29/2013,2:30 PM,0,40.2,26.4
5/29/2013,2:45 PM,0,41.7,26.5
5/29/2013,3:00 PM,0,39.2,26.4
5/29/2013,3:15 PM,0,39.7,26.7
5/29/2013,3:30 PM,0,39.8,26.7
5/29/2013,3:45 PM,0,42.3,26.8
5/29/2013,4:00 PM,0,41,26.9
5/29/2013,4:15 PM,0,42.1,27.3
5/29/2013,4:30 PM,0,40.5,27.7
5/29/2013,4:45 PM,0,41.6,27.2
5/29/2013,5:00 PM,0,40.3,27
5/29/2013,5:15 PM,0,39.4,26.9
5/29/2013,5:30 PM,0,41.2,26.7
5/29/2013,5:45 PM,0,41.2,26.3
5/29/2013,6:00 PM,0,43.8,26.2
5/29/2013,6:15 PM,0,56.3,25.4
5/29/2013,6:30 PM,0,60.3,23.5
5/29/2013,6:45 PM,0,65.7,22.2
5/29/2013,7:00 PM,0,64.2,21.5
5/29/2013,7:15 PM,0,65.9,20.9
5/29/2013,7:30 PM,0,62.1,20.9
5/29/2013,7:45 PM,0,58.8,21.6
5/29/2013,8:00 PM,0,61.7,21.3
5/29/2013,8:15 PM,0,64.1,21
5/29/2013,8:30 PM,0,68.1,20.3
5/29/2013,8:45 PM,0,69.7,19.7
5/29/2013,9:00 PM,0,71.7,19.3
5/29/2013,9:15 PM,0,69,19.8
5/29/2013,9:30 PM,0,69.5,20.4
5/29/2013,9:45 PM,0,71.2,20.2
5/29/2013,10:00 PM,0,71.7,19.3
5/29/2013,10:15 PM,1.2,76.2,19
5/29/2013,10:30 PM,0.2,94.6,16.6
5/29/2013,10:45 PM,0,93.6,16.4
5/29/2013,11:00 PM,1.4,90.6,16.8
5/29/2013,11:15 PM,2.8,96.6,16.2
5/29/2013,11:30 PM,4.2,98.2,15.9
5/29/2013,11:45 PM,0,98.6,15.7
5/30/2013,12:00 AM,0.4,98.3,15.7
5/30/2013,12:15 AM,1,98.4,15.6
5/30/2013,12:30 AM,0,97.9,14.9
5/30/2013,12:45 AM,0,97.9,14.6
5/30/2013,1:00 AM,0.2,97.8,14.7
5/30/2013,1:15 AM,0,95.1,14.6
5/30/2013,1:30 AM,0,95.7,14.6
5/30/2013,1:45 AM,0,94.7,14.8
5/30/2013,2:00 AM,0,92.8,14.8
5/30/2013,2:15 AM,0,92.6,14.9
5/30/2013,2:30 AM,0,96.1,14.6
5/30/2013,2:45 AM,0,95.9,14.6
5/30/2013,3:00 AM,0,94.9,14.6
5/30/2013,3:15 AM,0,92.8,14.6
5/30/2013,3:30 AM,0,95.4,14.4
5/30/2013,3:45 AM,0,95.4,14.3
5/30/2013,4:00 AM,0,96.1,14.2
5/30/2013,4:15 AM,0,93.6,14.3
5/30/2013,4:30 AM,0,91.5,14.3
5/30/2013,4:45 AM,0,91.4,14.2
5/30/2013,5:00 AM,0,89.6,14.3
5/30/2013,5:15 AM,0,88.8,14.3
5/30/2013,5:30 AM,0,89,14.4
5/30/2013,5:45 AM,0,89.9,14.1
5/30/2013,6:00 AM,0,89.2,14.1
5/30/2013,6:15 AM,0,89.8,13.9
5/30/2013,6:30 AM,0,90,14
5/30/2013,6:45 AM,0,91.3,14.2
5/30/2013,7:00 AM,0,92.7,14.4
5/30/2013,7:15 AM,0,86.2,15.2
5/30/2013,7:30 AM,0,85.9,15.6
5/30/2013,7:45 AM,0,85.7,15.8
5/30/2013,8:00 AM,0,82.2,16.6
5/30/2013,8:15 AM,0,82.5,17.3
5/30/2013,8:30 AM,0,84.8,17.4
5/30/2013,8:45 AM,0,84.2,17.7
5/30/2013,9:00 AM,0,84.7,17.7
5/30/2013,9:15 AM,0,79.9,18.7
5/30/2013,9:30 AM,0,74.6,19.9
5/30/2013,9:45 AM,0,75,20.6
5/30/2013,10:00 AM,0,77.9,20.5
5/30/2013,10:15 AM,0,76.1,21
5/30/2013,10:30 AM,0,74.9,21.3
5/30/2013,10:45 AM,0,70.9,22
5/30/2013,11:00 AM,0,70.5,22.2
5/30/2013,11:15 AM,0,68.7,22.4
5/30/2013,11:30 AM,0,67.9,23
5/30/2013,11:45 AM,0,69.6,22.7
5/30/2013,12:00 PM,0,66,23.2
5/30/2013,12:15 PM,0,64.9,23.6
5/30/2013,12:30 PM,0,64.6,23.5
5/30/2013,12:45 PM,0,66.1,24.1
5/30/2013,1:00 PM,0,63.9,24.1
5/30/2013,1:15 PM,0,60.6,23.6
5/30/2013,1:30 PM,0,58.1,24.1
5/30/2013,1:45 PM,0,57,24.2
5/30/2013,2:00 PM,0,58.1,24.6
5/30/2013,2:15 PM,0,62,24.3
5/30/2013,2:30 PM,0,52.3,25.5
5/30/2013,2:45 PM,0,52.8,25.9
5/30/2013,3:00 PM,0,48,27
5/30/2013,3:15 PM,0,48.9,26.4
5/30/2013,3:30 PM,0,48.3,25.9
5/30/2013,3:45 PM,0,45.6,26.3
5/30/2013,4:00 PM,0,45.5,26.5
5/30/2013,4:15 PM,0,41,26.5
5/30/2013,4:30 PM,0,40.9,26.8
5/30/2013,4:45 PM,0,40.4,26.7
5/30/2013,5:00 PM,0,46,25.8
5/30/2013,5:15 PM,0,47.8,25.1
5/30/2013,5:30 PM,0,49.8,24.8
5/30/2013,5:45 PM,0,53.1,24.2
5/30/2013,6:00 PM,0,59,23.4
5/30/2013,6:15 PM,0,61.1,23.1
5/30/2013,6:30 PM,0,63.3,22.4
5/30/2013,6:45 PM,0,66.2,21.8
5/30/2013,7:00 PM,0,64,21.4
5/30/2013,7:15 PM,0,65.9,20.9
5/30/2013,7:30 PM,0,64.7,20.9
5/30/2013,7:45 PM,0,68.3,20.5
5/30/2013,8:00 PM,0,71,20.4
5/30/2013,8:15 PM,0,74.3,20.1
5/30/2013,8:30 PM,0,74,19.9
5/30/2013,8:45 PM,0,74.9,19.5
5/30/2013,9:00 PM,0,77.9,18.9
5/30/2013,9:15 PM,0,75.1,18.8
5/30/2013,9:30 PM,0,74.3,18.7
5/30/2013,9:45 PM,0,71.6,19.1
5/30/2013,10:00 PM,0,71.9,19.3
5/30/2013,10:15 PM,0,73.2,19.2
5/30/2013,10:30 PM,0,74.7,19.2
5/30/2013,10:45 PM,0,74.9,19.1
5/30/2013,11:00 PM,0,75.4,19.1
5/30/2013,11:15 PM,0,75.2,19.1
5/30/2013,11:30 PM,0,75.5,19.1
5/30/2013,11:45 PM,0.6,82.1,18.5
5/31/2013,12:00 AM,0,87.2,17.7
5/31/2013,12:15 AM,0,87.2,17.5
5/31/2013,12:30 AM,0,87.2,17.3
5/31/2013,12:45 AM,0,86.7,17.2
5/31/2013,1:00 AM,0,86.9,17.1
5/31/2013,1:15 AM,0,87.8,17.1
5/31/2013,1:30 AM,0,87.7,17.2
5/31/2013,1:45 AM,0,87.6,17.2
5/31/2013,2:00 AM,0,88.4,17.1
5/31/2013,2:15 AM,1.8,91,16.8
5/31/2013,2:30 AM,12,97.1,15.3
5/31/2013,2:45 AM,9.6,98.2,13.7
5/31/2013,3:00 AM,0.8,98.9,13.1
5/31/2013,3:15 AM,0.2,99.2,13
5/31/2013,3:30 AM,0,99.3,12.8
5/31/2013,3:45 AM,0.4,99.5,12.8
5/31/2013,4:00 AM,0.2,99.6,12.8
5/31/2013,4:15 AM,0.4,99.7,12.9
5/31/2013,4:30 AM,0.2,99.8,13
5/31/2013,4:45 AM,0,99.9,13
5/31/2013,5:00 AM,0,99.9,13.1
5/31/2013,5:15 AM,0.2,99.9,13.1
5/31/2013,5:30 AM,0,100,13.1
5/31/2013,5:45 AM,0,100,13.1
5/31/2013,6:00 AM,0,100,13.2
5/31/2013,6:15 AM,0,100,13.2
5/31/2013,6:30 AM,0,100,13.2
5/31/2013,6:45 AM,0,100,13.3
5/31/2013,7:00 AM,0,100,13.5
5/31/2013,7:15 AM,0,100,13.7
5/31/2013,7:30 AM,0,100,14.2
5/31/2013,7:45 AM,0,100,15.1
5/31/2013,8:00 AM,0,99.9,15.6
5/31/2013,8:15 AM,0,99.3,16.1
5/31/2013,8:30 AM,0,98.8,15.8
5/31/2013,8:45 AM,0,99.1,16.1
5/31/2013,9:00 AM,0,97.9,16.6
5/31/2013,9:15 AM,0,97.1,17.2
5/31/2013,9:30 AM,0,83.6,18.4
5/31/2013,9:45 AM,0,73.8,19.1
5/31/2013,10:00 AM,0,73.5,19.6
5/31/2013,10:15 AM,0,73.4,19.7
5/31/2013,10:30 AM,0,72.2,20.3
5/31/2013,10:45 AM,0,70.2,20.9
5/31/2013,11:00 AM,0,68,21.3
5/31/2013,11:15 AM,0,66.8,22.4
5/31/2013,11:30 AM,0,64.5,22.5
