Date,Time,Precipitation_Jinka (mm),Relative Humidity_Jinka (% RH),Temperature_Jinka (?C)
2/25/2011,1:37:11 PM,*,*,*
2/25/2011,1:37:33 PM,*,*,*
2/25/2014,1:50:19 PM,*,*,*
2/25/2014,2:00:00 PM,0,36.6,24.3
2/25/2014,2:15:00 PM,0,35.4,24.3
2/25/2014,2:30:00 PM,0,35.2,24.6
2/25/2014,2:45:00 PM,0,34.2,25.2
2/25/2014,3:00:00 PM,0,33.5,25.2
2/25/2014,3:15:00 PM,0,33.8,25.2
2/25/2014,3:30:00 PM,0,33.8,25
2/25/2014,3:45:00 PM,0,33.5,24.7
2/25/2014,4:00:00 PM,0,32.5,25.1
2/25/2014,4:15:00 PM,0,32.6,24.9
2/25/2014,4:30:00 PM,0,33.3,24.6
2/25/2014,4:45:00 PM,0,34.3,24.2
2/25/2014,5:00:00 PM,0,34.7,24
2/25/2014,5:15:00 PM,0,35.4,24
2/25/2014,5:30:00 PM,0,36.1,23.8
2/25/2014,5:45:00 PM,0,36,23.4
2/25/2014,6:00:00 PM,0,36.2,23
2/25/2014,6:15:00 PM,0,36.5,22.5
2/25/2014,6:30:00 PM,0,36.3,22
2/25/2014,6:45:00 PM,0,38,21.6
2/25/2014,7:00:00 PM,0,38.9,21.1
2/25/2014,7:15:00 PM,0,39.9,20.9
2/25/2014,7:30:00 PM,0,40.5,20.6
2/25/2014,7:45:00 PM,0,41.4,20.3
2/25/2014,8:00:00 PM,0,41.9,20
2/25/2014,8:15:00 PM,0,42.3,19.8
2/25/2014,8:30:00 PM,0,42.6,19.7
2/25/2014,8:45:00 PM,0,43.5,19.4
2/25/2014,9:00:00 PM,0,43,19.3
2/25/2014,9:15:00 PM,0,43.4,19.1
2/25/2014,9:30:00 PM,0,45.3,18.9
2/25/2014,9:45:00 PM,0,46.9,18.7
2/25/2014,10:00:00 PM,0,47.6,18.5
2/25/2014,10:15:00 PM,0,48,18.4
2/25/2014,10:30:00 PM,0,47.8,18.4
2/25/2014,10:45:00 PM,0,47.6,18.2
2/25/2014,11:00:00 PM,0,47.3,18.1
2/25/2014,11:15:00 PM,0,47.9,17.9
2/25/2014,11:30:00 PM,0,49.3,17.5
2/25/2014,11:45:00 PM,0,50.1,17.1
2/26/2014,12:00:00 AM,0,50.5,16.9
2/26/2014,12:15:00 AM,0,49.9,16.9
2/26/2014,12:30:00 AM,0,50.3,16.8
2/26/2014,12:45:00 AM,0,50.6,16.8
2/26/2014,1:00:00 AM,0,54.1,16.1
2/26/2014,1:15:00 AM,0,54.6,16
2/26/2014,1:30:00 AM,0,53,16.2
2/26/2014,1:45:00 AM,0,51.9,16.4
2/26/2014,2:00:00 AM,0,53,16.3
2/26/2014,2:15:00 AM,0,57.9,15.4
2/26/2014,2:30:00 AM,0,59.2,15
2/26/2014,2:45:00 AM,0,54.5,15.7
2/26/2014,3:00:00 AM,0,57.2,15.2
2/26/2014,3:15:00 AM,0,59.6,14.7
2/26/2014,3:30:00 AM,0,57.8,14.6
2/26/2014,3:45:00 AM,0,57.5,14.4
2/26/2014,4:00:00 AM,0,58.7,14.1
2/26/2014,4:15:00 AM,0,61.2,13.8
2/26/2014,4:30:00 AM,0,65.5,13.4
2/26/2014,4:45:00 AM,0,67.4,13.1
2/26/2014,5:00:00 AM,0,67.4,13.3
2/26/2014,5:15:00 AM,0,68.1,13.2
2/26/2014,5:30:00 AM,0,67.3,13.3
2/26/2014,5:45:00 AM,0,66.6,13.6
2/26/2014,6:00:00 AM,0,67.2,13.7
2/26/2014,6:15:00 AM,0,67.8,13.6
2/26/2014,6:30:00 AM,0,65.6,14.3
2/26/2014,6:45:00 AM,0,68,14.1
2/26/2014,7:00:00 AM,0,68.4,14.2
2/26/2014,7:15:00 AM,0,67.3,14.4
2/26/2014,7:30:00 AM,0,67.2,14.6
2/26/2014,7:45:00 AM,0,61.8,15.9
2/26/2014,8:00:00 AM,0,60.5,16.3
2/26/2014,8:15:00 AM,0,60.6,16.4
2/26/2014,8:30:00 AM,0,60.7,16.9
2/26/2014,8:45:00 AM,0,58.6,18.2
2/26/2014,9:00:00 AM,0,55.4,19.2
2/26/2014,9:15:00 AM,0,52.2,19.9
2/26/2014,9:30:00 AM,0,50.6,20.2
2/26/2014,9:45:00 AM,0,48.8,20.4
2/26/2014,10:00:00 AM,0,48.5,20.6
2/26/2014,10:15:00 AM,0,49.6,20.6
2/26/2014,10:30:00 AM,0,48.7,20.8
2/26/2014,10:45:00 AM,0,47.8,21.1
2/26/2014,11:00:00 AM,0,47.7,21.1
2/26/2014,11:15:00 AM,0,47.5,21
2/26/2014,11:30:00 AM,0,46.7,21
2/26/2014,11:45:00 AM,0,45.1,21.1
2/26/2014,12:00:00 PM,0,44.6,21
2/26/2014,12:15:00 PM,0,44.5,21.2
2/26/2014,12:30:00 PM,0,41.7,21.6
2/26/2014,12:45:00 PM,0,41.4,21.9
2/26/2014,1:00:00 PM,0,41.5,21.9
2/26/2014,1:15:00 PM,0,39.9,21.9
2/26/2014,1:30:00 PM,0,41.1,22
2/26/2014,1:45:00 PM,0,39.6,22
2/26/2014,2:00:00 PM,0,39.4,22.4
2/26/2014,2:15:00 PM,0,38.4,22.6
2/26/2014,2:30:00 PM,0,37.9,22.6
2/26/2014,2:45:00 PM,0,36.8,22.8
2/26/2014,3:00:00 PM,0,35.2,22.7
2/26/2014,3:15:00 PM,0,33.6,22.9
2/26/2014,3:30:00 PM,0,32.1,23
2/26/2014,3:45:00 PM,0,32.7,23.1
2/26/2014,4:00:00 PM,0,31.3,23.1
2/26/2014,4:15:00 PM,0,29.7,23
2/26/2014,4:30:00 PM,0,27.8,22.8
2/26/2014,4:45:00 PM,0,29.5,22.7
2/26/2014,5:00:00 PM,0,29,22.6
2/26/2014,5:15:00 PM,0,30.8,22.6
2/26/2014,5:30:00 PM,0,31.7,22.3
2/26/2014,5:45:00 PM,0,31.9,22
2/26/2014,6:00:00 PM,0,33.9,21.8
2/26/2014,6:15:00 PM,0,34.4,21.5
2/26/2014,6:30:00 PM,0,35.4,21.2
2/26/2014,6:45:00 PM,0,38,20.8
2/26/2014,7:00:00 PM,0,39.7,20.5
2/26/2014,7:15:00 PM,0,40.7,20.3
2/26/2014,7:30:00 PM,0,41.7,20.1
2/26/2014,7:45:00 PM,0,42.9,19.9
2/26/2014,8:00:00 PM,0,43.7,19.7
2/26/2014,8:15:00 PM,0,44.5,19.5
2/26/2014,8:30:00 PM,0,45.5,19.2
2/26/2014,8:45:00 PM,0,46.7,19
2/26/2014,9:00:00 PM,0,47.1,18.9
2/26/2014,9:15:00 PM,0,48.3,18.6
2/26/2014,9:30:00 PM,0,49.9,18.3
2/26/2014,9:45:00 PM,0,50.5,18.2
2/26/2014,10:00:00 PM,0,51.7,17.9
2/26/2014,10:15:00 PM,0,52.9,17.6
2/26/2014,10:30:00 PM,0,54.2,17.5
2/26/2014,10:45:00 PM,0,55.5,17.3
2/26/2014,11:00:00 PM,0,58,17
2/26/2014,11:15:00 PM,0,59.6,16.7
2/26/2014,11:30:00 PM,0,60.9,16.7
2/26/2014,11:45:00 PM,0,61.9,16.6
2/27/2014,12:00:00 AM,0,63.2,16.4
2/27/2014,12:15:00 AM,0,64.5,16.2
2/27/2014,12:30:00 AM,0,64,16.2
2/27/2014,12:45:00 AM,0,64.7,15.7
2/27/2014,1:00:00 AM,0,65.8,15.5
2/27/2014,1:15:00 AM,0,66.6,15.3
2/27/2014,1:30:00 AM,0,65.8,15.1
2/27/2014,1:45:00 AM,0,62.9,15.2
2/27/2014,2:00:00 AM,0,63.3,15.1
2/27/2014,2:15:00 AM,0,63.1,15.2
2/27/2014,2:30:00 AM,0,64.2,15
2/27/2014,2:45:00 AM,0,64.4,15
2/27/2014,3:00:00 AM,0,64.8,15
2/27/2014,3:15:00 AM,0,65.4,14.5
2/27/2014,3:30:00 AM,0,66,14.1
2/27/2014,3:45:00 AM,0,67.4,13.8
2/27/2014,4:00:00 AM,0,70.3,13.4
2/27/2014,4:15:00 AM,0,71.4,13.3
2/27/2014,4:30:00 AM,0,71.6,13.3
2/27/2014,4:45:00 AM,0,71.8,13.5
2/27/2014,5:00:00 AM,0,72.4,13.4
2/27/2014,5:15:00 AM,0,73.6,13.1
2/27/2014,5:30:00 AM,0,75,12.8
2/27/2014,5:45:00 AM,0,75.5,12.8
2/27/2014,6:00:00 AM,0,75.4,12.8
2/27/2014,6:15:00 AM,0,76.8,12.5
2/27/2014,6:30:00 AM,0,76.7,12.6
2/27/2014,6:45:00 AM,0,75.4,12.9
2/27/2014,7:00:00 AM,0,72.6,13.7
