Date,Time,Precipitation (mm),Relative Humidity (% RH),Temperature (?C)
6/28/2017,3:24 PM,*,*,*
6/1/2019,12:56 AM,*,*,*
6/1/2019,1:00 AM,0,90.3,16.6
6/1/2019,1:15 AM,0,92,16.8
6/1/2019,1:30 AM,0,92,16.6
6/1/2019,1:45 AM,0,90.1,16.6
6/1/2019,2:00 AM,0,89.8,16.5
6/1/2019,2:15 AM,0,90.4,16.6
6/1/2019,2:30 AM,0,90,16.8
6/1/2019,2:45 AM,0,90.4,16.7
6/1/2019,3:00 AM,0,91.5,16.6
6/1/2019,3:15 AM,0,93.6,16.4
6/1/2019,3:30 AM,0,95.8,16.2
6/1/2019,3:45 AM,0,96.6,16
6/1/2019,4:00 AM,0,96.5,16.1
6/1/2019,4:15 AM,0,96,16.1
6/1/2019,4:30 AM,0,96.9,16
6/1/2019,4:45 AM,0,97.7,15.9
6/1/2019,5:00 AM,0,97.9,15.8
6/1/2019,5:15 AM,0,98.1,15.8
6/1/2019,5:30 AM,0,98.3,15.8
6/1/2019,5:45 AM,0,98.4,15.8
6/1/2019,6:00 AM,0,98.4,15.8
6/1/2019,6:15 AM,0,98.3,15.8
6/1/2019,6:30 AM,0,98.4,15.7
6/1/2019,6:45 AM,0,98.6,15.8
6/1/2019,7:00 AM,0,98.7,15.9
6/1/2019,7:15 AM,0,98.5,16
6/1/2019,7:30 AM,0,98.1,16.2
6/1/2019,7:45 AM,0,97.7,16.5
6/1/2019,8:00 AM,0,96.4,16.9
6/1/2019,8:15 AM,0,95,17.1
6/1/2019,8:30 AM,0,94,17.3
6/1/2019,8:45 AM,0,94.1,17.3
6/1/2019,9:00 AM,0,93.6,17.4
6/1/2019,9:15 AM,0,92.2,17.6
6/1/2019,9:30 AM,0,90.6,17.9
6/1/2019,9:45 AM,0,89.3,18.3
6/1/2019,10:00 AM,0,87,18.5
6/1/2019,10:15 AM,0,85.1,19
6/1/2019,10:30 AM,0,81,19.3
6/1/2019,10:45 AM,0,76.7,19.9
6/1/2019,11:00 AM,0,73.1,20.6
6/1/2019,11:15 AM,0,72.1,20.7
6/1/2019,11:30 AM,0,72,20.9
6/1/2019,11:45 AM,0,69.9,21.2
6/1/2019,12:00 PM,0,66.4,22.1
6/1/2019,12:15 PM,0,64.6,22.8
6/1/2019,12:30 PM,0,65.5,22.9
6/1/2019,12:45 PM,0,63.7,23.3
6/1/2019,1:00 PM,0,63.3,23.7
6/1/2019,1:15 PM,0,63,24.1
6/1/2019,1:30 PM,0,64.2,23.7
6/1/2019,1:45 PM,0,65.3,23.6
6/1/2019,2:00 PM,0,62,24.1
6/1/2019,2:15 PM,0,60.9,24.3
6/1/2019,2:30 PM,0,61.3,24.4
6/1/2019,2:45 PM,0,58.1,24.9
6/1/2019,3:00 PM,0,57.3,24.5
6/1/2019,3:15 PM,0,57.2,24.6
6/1/2019,3:30 PM,0,57,24.7
6/1/2019,3:45 PM,0,55.6,25.4
6/1/2019,4:00 PM,0,55.9,25.4
6/1/2019,4:15 PM,0,56.9,24.8
6/1/2019,4:30 PM,0,58.1,25.3
6/1/2019,4:45 PM,0,58.7,25
6/1/2019,5:00 PM,0,62.8,23.7
6/1/2019,5:15 PM,0,68.2,22.3
6/1/2019,5:30 PM,0,70.1,22.4
6/1/2019,5:45 PM,0,67.8,23
6/1/2019,6:00 PM,0,66.2,23.5
6/1/2019,6:15 PM,0,69.1,22.7
6/1/2019,6:30 PM,0,73.9,21.9
6/1/2019,6:45 PM,0,78.8,20.8
6/1/2019,7:00 PM,0,82.7,20
6/1/2019,7:15 PM,0,85.7,19.5
6/1/2019,7:30 PM,0,78.1,19.9
6/1/2019,7:45 PM,0,76.8,19.6
6/1/2019,8:00 PM,0,77.7,19.3
6/1/2019,8:15 PM,0,79.6,19
6/1/2019,8:30 PM,0,81.4,18.5
6/1/2019,8:45 PM,0,84.8,17.8
6/1/2019,9:00 PM,0,86.1,17.6
6/1/2019,9:15 PM,0,85.2,17.7
6/1/2019,9:30 PM,0,85.1,17.6
6/1/2019,9:45 PM,0,83.5,17.8
6/1/2019,10:00 PM,0,85.6,17.5
6/1/2019,10:15 PM,0,88.1,17.1
6/1/2019,10:30 PM,0,90.9,16.8
6/1/2019,10:45 PM,0,93.6,16.5
6/1/2019,11:00 PM,0,94.6,16.2
6/1/2019,11:15 PM,0,95.2,16
6/1/2019,11:30 PM,0,96.1,15.8
6/1/2019,11:45 PM,0,95.9,15.7
6/2/2019,12:00 AM,0,96.1,15.7
6/2/2019,12:15 AM,0,96.5,15.4
6/2/2019,12:30 AM,0,97.6,15.4
6/2/2019,12:45 AM,0,96.6,15.8
6/2/2019,1:00 AM,0,95.2,16
6/2/2019,1:15 AM,0,96.1,16
6/2/2019,1:30 AM,0,96.8,15.8
6/2/2019,1:45 AM,0,97.3,15.8
6/2/2019,2:00 AM,0,97.6,15.8
6/2/2019,2:15 AM,0,97.6,15.6
6/2/2019,2:30 AM,0,97.9,15.6
6/2/2019,2:45 AM,0,97.9,15.3
6/2/2019,3:00 AM,0,97.9,15.2
6/2/2019,3:15 AM,0,98.1,15.1
6/2/2019,3:30 AM,0,98.3,15
6/2/2019,3:45 AM,0,98.3,14.7
6/2/2019,4:00 AM,0,98.6,14.3
6/2/2019,4:15 AM,0,98.9,14.2
6/2/2019,4:30 AM,0,98.9,14
6/2/2019,4:45 AM,0,99.1,14
6/2/2019,5:00 AM,0,99,14.1
6/2/2019,5:15 AM,0,99.1,14.4
6/2/2019,5:30 AM,0,99,14.4
6/2/2019,5:45 AM,0,99,14.4
6/2/2019,6:00 AM,0,98.9,14.5
6/2/2019,6:15 AM,0,99,14.6
6/2/2019,6:30 AM,0,99.1,14.6
6/2/2019,6:45 AM,0,98.9,14.8
6/2/2019,7:00 AM,0,98.7,15.1
6/2/2019,7:15 AM,0,98.1,15.4
6/2/2019,7:30 AM,0,97.6,15.8
6/2/2019,7:45 AM,0,96.9,16.3
6/2/2019,8:00 AM,0,95.3,16.6
6/2/2019,8:15 AM,0,94.3,17.1
6/2/2019,8:30 AM,0,91.9,17.6
6/2/2019,8:45 AM,0,90.6,18
6/2/2019,9:00 AM,0,88.1,18.4
6/2/2019,9:15 AM,0,86.1,19
6/2/2019,9:30 AM,0,85.3,19.2
6/2/2019,9:45 AM,0,82,20
6/2/2019,10:00 AM,0,79.8,20.3
6/2/2019,10:15 AM,0,78.1,20.5
6/2/2019,10:30 AM,0,75.7,21.2
6/2/2019,10:45 AM,0,74.1,22.2
6/2/2019,11:00 AM,0,70.8,23.1
6/2/2019,11:15 AM,0,69.4,23.6
6/2/2019,11:30 AM,0,65.5,24.5
6/2/2019,11:45 AM,0,64.4,23.9
6/2/2019,12:00 PM,0,62,25
6/2/2019,12:15 PM,0,61.9,25.5
6/2/2019,12:30 PM,0,56.8,25.6
6/2/2019,12:45 PM,0,56.3,26.2
6/2/2019,1:00 PM,0,55.3,26.2
6/2/2019,1:15 PM,0,54.7,26.6
6/2/2019,1:30 PM,0,52.1,27.1
6/2/2019,1:45 PM,0,51.7,26
6/2/2019,2:00 PM,0,54.5,24.9
6/2/2019,2:15 PM,0,61.6,24.3
6/2/2019,2:30 PM,0,59.1,25
6/2/2019,2:45 PM,0,56.2,26.2
6/2/2019,3:00 PM,0,55.8,25.4
6/2/2019,3:15 PM,0,56.4,24.8
6/2/2019,3:30 PM,0,55.2,25.4
6/2/2019,3:45 PM,0,54.1,25.7
6/2/2019,4:00 PM,0,49.2,26.5
6/2/2019,4:15 PM,0,43.4,26.7
6/2/2019,4:30 PM,0,50.3,24.9
6/2/2019,4:45 PM,0,60.8,23.3
6/2/2019,5:00 PM,0,68.8,22.5
6/2/2019,5:15 PM,0,75.1,22
6/2/2019,5:30 PM,0,75.2,21.5
6/2/2019,5:45 PM,0,72.1,21.2
6/2/2019,6:00 PM,0,72.2,20.9
6/2/2019,6:15 PM,0,76.5,20.4
6/2/2019,6:30 PM,0,80.1,18.7
6/2/2019,6:45 PM,0,79.9,18.4
6/2/2019,7:00 PM,0,81.3,18.2
6/2/2019,7:15 PM,0,83.4,17.9
6/2/2019,7:30 PM,0,86,17.7
6/2/2019,7:45 PM,0,86,17.7
6/2/2019,8:00 PM,0,85.8,17.5
6/2/2019,8:15 PM,0,88.5,17.1
6/2/2019,8:30 PM,0,90.6,17
6/2/2019,8:45 PM,0,91.2,17
6/2/2019,9:00 PM,0,91.9,16.7
6/2/2019,9:15 PM,0,90.9,16.6
6/2/2019,9:30 PM,0,92.2,16.3
6/2/2019,9:45 PM,0,92.8,16.3
6/2/2019,10:00 PM,0,93.1,16.3
6/2/2019,10:15 PM,0,94.4,16.3
6/2/2019,10:30 PM,0,95.3,16.2
