Date,Time,Precipitation (mm),Relative Humidity (% RH),Temperature (?C)
4/27/2017,4:15 AM,0,81,21
4/27/2017,4:30 AM,0,82,20.8
4/27/2017,4:45 AM,0,83.5,20.7
4/27/2017,5:00 AM,0,84.8,20.6
4/27/2017,5:15 AM,0,85.1,20.6
4/27/2017,5:30 AM,0,84.9,20.8
4/27/2017,5:45 AM,0,84.8,20.8
4/27/2017,6:00 AM,0,85.2,20.6
4/27/2017,6:15 AM,0,85.3,20.6
4/27/2017,6:30 AM,0,84.7,20.9
4/27/2017,6:45 AM,0,83.4,21.3
4/27/2017,7:00 AM,0,81.6,21.8
4/27/2017,7:15 AM,0,80.1,22.4
4/27/2017,7:30 AM,0,77.9,23
4/27/2017,7:45 AM,0,76.4,23.3
4/27/2017,8:00 AM,0,74.5,24
4/27/2017,8:15 AM,0,73.7,24.5
4/27/2017,8:30 AM,0,71.1,25
4/27/2017,8:45 AM,0,69.9,25.1
4/27/2017,9:00 AM,0,68.3,25.7
4/27/2017,9:15 AM,0,65.7,26.3
4/27/2017,9:30 AM,0,65.4,26.2
4/27/2017,9:45 AM,0,66.1,26.2
4/27/2017,10:00 AM,0,64,26.6
4/27/2017,10:15 AM,0,58.9,28.2
4/27/2017,10:30 AM,0,57.3,28.2
4/27/2017,10:45 AM,0,54.9,28.6
4/27/2017,11:00 AM,0,57.8,27.8
4/27/2017,11:15 AM,0,57.5,27.9
4/27/2017,11:30 AM,0,50.6,29.5
4/27/2017,11:45 AM,0,48.4,29
4/27/2017,12:00 PM,0,52.2,25.8
4/27/2017,12:15 PM,0,54.9,27.3
4/27/2017,12:30 PM,0,54.1,27
4/27/2017,12:45 PM,1.2,69.6,22.5
4/27/2017,1:00 PM,1.8,88.2,19.9
4/27/2017,1:15 PM,0.2,79.1,20.7
4/27/2017,1:30 PM,0,79.3,21.5
4/27/2017,1:45 PM,0.2,77.6,22.3
4/27/2017,2:00 PM,0,79.4,22.8
4/27/2017,2:15 PM,0,76.8,22.8
4/27/2017,2:30 PM,0,71.1,24.6
4/27/2017,2:45 PM,0,65.4,25.8
4/27/2017,3:00 PM,0,67.9,25.4
4/27/2017,3:15 PM,0,68.9,25.5
4/27/2017,3:30 PM,0,67.3,26
4/27/2017,3:45 PM,0,64.5,26.8
4/27/2017,4:00 PM,0,61.8,27.2
4/27/2017,4:15 PM,0,63.9,26.2
4/27/2017,4:30 PM,0,62.5,26.2
4/27/2017,4:45 PM,0,60,26.6
4/27/2017,5:00 PM,0,61.9,26.3
4/27/2017,5:15 PM,0,62.4,25.7
4/27/2017,5:30 PM,0,63,25.6
4/27/2017,5:45 PM,0,71.4,23.8
4/27/2017,6:00 PM,0,80.5,21.8
4/27/2017,6:15 PM,0,83.5,21.4
4/27/2017,6:30 PM,0,81.7,21.4
4/27/2017,6:45 PM,0,76.5,21.3
4/27/2017,7:00 PM,0,73.9,21.5
4/27/2017,7:15 PM,0,71.8,21.2
4/27/2017,7:30 PM,0,72,21
4/27/2017,7:45 PM,0,71.9,21.1
4/27/2017,8:00 PM,0,71.3,21.1
4/27/2017,8:15 PM,0,69.9,21.4
4/27/2017,8:30 PM,0,69.4,21.4
4/27/2017,8:45 PM,0,67.9,21.5
4/27/2017,9:00 PM,0,68.4,21.3
4/27/2017,9:15 PM,0,65.8,21.6
4/27/2017,9:30 PM,0,64.8,21.9
4/27/2017,9:45 PM,0,70.2,21.3
4/27/2017,10:00 PM,0,74.5,20.9
4/27/2017,10:15 PM,0,75.1,20.7
4/27/2017,10:30 PM,0,77.9,20.7
4/27/2017,10:45 PM,0,77.3,20.6
4/27/2017,11:00 PM,0,75.3,20.8
4/27/2017,11:15 PM,0,71.2,21.3
4/27/2017,11:30 PM,0,69.8,21.4
4/27/2017,11:45 PM,0,73.3,21
4/28/2017,12:00 AM,0,72.3,20.9
4/28/2017,12:15 AM,0,68.9,21.2
4/28/2017,12:30 AM,0,68.7,21.2
4/28/2017,12:45 AM,0,69.3,21.1
4/28/2017,1:00 AM,0,70.5,21.3
4/28/2017,1:15 AM,0,70.8,21.3
4/28/2017,1:30 AM,0,71.1,21.1
4/28/2017,1:45 AM,0,73,20.7
4/28/2017,2:00 AM,0,75.5,20.1
4/28/2017,2:15 AM,0,78.6,20
4/28/2017,2:30 AM,0,81.1,19.9
4/28/2017,2:45 AM,0,84.1,19.8
4/28/2017,3:00 AM,0,87.5,19.7
4/28/2017,3:15 AM,0,90.5,19.8
4/28/2017,3:30 AM,0,92.2,19.9
4/28/2017,3:45 AM,0,93.9,20.1
4/28/2017,4:00 AM,0,95.1,20.1
4/28/2017,4:15 AM,0,95.6,20.2
4/28/2017,4:30 AM,0,96,20.1
4/28/2017,4:45 AM,0,96.3,20
4/28/2017,5:00 AM,0,96.6,20.2
4/28/2017,5:15 AM,0,96.3,20
4/28/2017,5:30 AM,0,95.6,19.9
4/28/2017,5:45 AM,0,94.3,20
4/28/2017,6:00 AM,0,92.5,19.9
4/28/2017,6:15 AM,0,91.3,20.1
4/28/2017,6:30 AM,0,88.1,20.4
4/28/2017,6:45 AM,0,83.6,21.1
4/28/2017,7:00 AM,0,80.1,21.8
4/28/2017,7:15 AM,0,78.1,22.1
4/28/2017,7:30 AM,0,76.9,22.5
4/28/2017,7:45 AM,0,74.7,22.8
4/28/2017,8:00 AM,0,71.9,23.5
4/28/2017,8:15 AM,0,59.6,24.3
4/28/2017,8:30 AM,0,51,24.8
4/28/2017,8:45 AM,0,51.9,25.3
4/28/2017,9:00 AM,0,40.3,26.1
4/28/2017,9:15 AM,0,38.7,26.4
4/28/2017,9:30 AM,0,40.8,26.2
4/28/2017,9:45 AM,0,43.7,26.4
4/28/2017,10:00 AM,0,47.5,26.4
4/28/2017,10:15 AM,0,47.9,27.2
4/28/2017,10:30 AM,0,45.6,27.7
4/28/2017,10:45 AM,0,44.8,27.6
4/28/2017,11:00 AM,0,44.8,28
4/28/2017,11:15 AM,0,41.4,28.6
4/28/2017,11:30 AM,0,41.3,28.6
4/28/2017,11:45 AM,0,40.6,29
4/28/2017,12:00 PM,0,40.5,29
4/28/2017,12:15 PM,0,39.8,29.4
4/28/2017,12:30 PM,0,40.7,29.1
4/28/2017,12:45 PM,0,40.7,29.1
4/28/2017,1:00 PM,0,39.4,29.7
4/28/2017,1:15 PM,0,38.6,30
4/28/2017,1:30 PM,0,38.6,29.6
4/28/2017,1:45 PM,0,40.2,29.3
4/28/2017,2:00 PM,0,40.2,29.2
4/28/2017,2:15 PM,0,39.9,29.2
4/28/2017,2:30 PM,0,39.3,29.6
4/28/2017,2:45 PM,0,37.9,30.1
4/28/2017,3:00 PM,0,38.3,30.3
4/28/2017,3:15 PM,0,37.4,30
4/28/2017,3:30 PM,0,35.1,30.4
4/28/2017,3:45 PM,0,33.8,30.3
4/28/2017,4:00 PM,0,32.5,30.5
4/28/2017,4:15 PM,0,34.1,29.7
4/28/2017,4:30 PM,0,35,28.8
4/28/2017,4:45 PM,0,35.4,28.7
4/28/2017,5:00 PM,0,58.2,27.2
4/28/2017,5:15 PM,0,63.2,26.1
