Date,Time,Precipitation (mm),Relative Humidity (% RH),Temperature (?C)
8/8/2011,11:43:51 AM,*,*,*
8/8/2011,11:58:58 AM,*,*,*
8/8/2011,12:14:34 PM,*,*,*
8/8/2011,12:30:35 PM,*,*,*
8/8/2011,12:46:25 PM,*,*,*
8/8/2011,1:02:14 PM,*,*,*
8/8/2011,1:17:18 PM,*,*,*
8/8/2011,1:32:27 PM,*,*,*
8/8/2011,1:47:32 PM,*,*,*
8/8/2011,2:02:40 PM,*,*,*
8/8/2011,2:17:51 PM,*,*,*
8/8/2011,2:33:00 PM,*,*,*
8/8/2011,2:48:26 PM,*,*,*
8/8/2011,3:03:39 PM,*,*,*
8/8/2011,3:18:40 PM,*,*,*
8/8/2011,3:33:48 PM,*,*,*
8/8/2011,3:49:15 PM,*,*,*
8/8/2011,4:05:40 PM,*,*,*
8/8/2011,4:20:43 PM,*,*,*
8/8/2011,4:35:44 PM,*,*,*
8/8/2011,4:50:57 PM,*,*,*
8/8/2011,5:06:00 PM,*,*,*
8/8/2011,5:21:05 PM,*,*,*
8/8/2011,5:36:25 PM,*,*,*
8/8/2011,5:51:27 PM,*,*,*
8/8/2011,6:06:37 PM,*,*,*
8/8/2011,6:21:44 PM,*,*,*
8/8/2011,6:36:53 PM,*,*,*
8/8/2011,6:52:19 PM,*,*,*
8/8/2011,7:08:03 PM,*,*,*
8/8/2011,7:23:16 PM,*,*,*
8/8/2011,7:38:17 PM,*,*,*
8/8/2011,7:53:56 PM,*,*,*
8/8/2011,8:08:57 PM,*,*,*
8/8/2011,8:24:02 PM,*,*,*
8/8/2011,8:39:06 PM,*,*,*
8/8/2011,8:55:14 PM,*,*,*
8/8/2011,9:10:30 PM,*,*,*
8/8/2011,9:26:25 PM,*,*,*
8/8/2011,9:41:34 PM,*,*,*
8/8/2011,9:56:56 PM,*,*,*
8/8/2011,10:12:17 PM,*,*,*
8/8/2011,10:27:41 PM,*,*,*
8/8/2011,10:42:47 PM,*,*,*
8/8/2011,10:57:53 PM,*,*,*
8/8/2011,11:13:47 PM,*,*,*
8/8/2011,11:29:01 PM,*,*,*
8/8/2011,11:44:05 PM,*,*,*
8/8/2011,11:59:15 PM,*,*,*
8/9/2011,12:15:00 AM,*,*,*
8/9/2011,12:30:08 AM,*,*,*
8/9/2011,12:45:14 AM,*,*,*
8/9/2011,1:00:21 AM,*,*,*
8/9/2011,1:15:31 AM,*,*,*
8/9/2011,1:30:48 AM,*,*,*
8/9/2011,1:46:28 AM,*,*,*
8/9/2011,2:02:08 AM,*,*,*
8/9/2011,2:17:15 AM,*,*,*
8/9/2011,2:32:21 AM,*,*,*
8/9/2011,2:47:40 AM,*,*,*
8/9/2011,3:02:47 AM,*,*,*
8/9/2011,3:17:55 AM,*,*,*
8/9/2011,3:32:56 AM,*,*,*
8/9/2011,3:48:12 AM,*,*,*
8/9/2011,4:03:18 AM,*,*,*
8/9/2011,4:18:37 AM,*,*,*
8/9/2011,4:33:47 AM,*,*,*
8/9/2011,4:48:57 AM,*,*,*
8/9/2011,5:04:31 AM,*,*,*
8/9/2011,5:19:40 AM,*,*,*
8/9/2011,5:34:48 AM,*,*,*
8/9/2011,5:49:58 AM,*,*,*
8/9/2011,6:05:10 AM,*,*,*
8/9/2011,6:20:16 AM,*,*,*
8/9/2011,6:35:21 AM,*,*,*
8/9/2011,6:50:28 AM,*,*,*
8/9/2011,7:05:46 AM,*,*,*
8/9/2011,7:20:46 AM,*,*,*
8/9/2011,7:35:55 AM,*,*,*
8/9/2011,7:51:51 AM,*,*,*
8/9/2011,8:06:58 AM,*,*,*
8/9/2011,8:22:48 AM,*,*,*
8/9/2011,8:37:50 AM,*,*,*
8/9/2011,8:53:21 AM,*,*,*
8/9/2011,9:08:24 AM,*,*,*
8/9/2011,9:23:29 AM,*,*,*
8/9/2011,9:39:14 AM,*,*,*
8/9/2011,9:54:15 AM,*,*,*
8/9/2011,10:09:43 AM,*,*,*
8/9/2011,10:25:30 AM,*,*,*
8/9/2011,10:40:47 AM,*,*,*
8/9/2011,10:55:58 AM,*,*,*
