Date,Time,Precipitation (mm),Relative Humidity (% RH),Temperature (?C)
3/11/2011,12:25:47 PM,*,*,*
3/11/2011,12:30:00 PM,0,0.1,*
3/11/2011,12:35:22 PM,0,0.1,*
9/20/2011,9:33:18 AM,*,*,*
9/20/2011,9:33:56 AM,*,*,*
10/31/2011,7:12:10 PM,*,*,*
10/31/2011,7:15:00 PM,0,0.1,*
10/31/2011,7:30:00 PM,0,0.1,*
10/31/2011,7:45:00 PM,0,0.1,*
10/31/2011,8:00:00 PM,0,0.1,*
10/31/2011,8:15:00 PM,0,0.1,*
10/31/2011,8:27:13 PM,0,0.1,*
11/12/2011,6:16:33 AM,*,*,*
11/12/2011,6:30:00 AM,0,38.4,32.3
11/12/2011,6:45:00 AM,1,37.3,33
11/12/2011,7:00:00 AM,0,37.4,33.4
11/12/2011,7:15:00 AM,0,37.3,33.6
11/12/2011,7:30:00 AM,0,36.6,33.9
11/12/2011,7:45:00 AM,0,35.8,34.4
11/12/2011,8:00:00 AM,0,33.8,35.2
11/12/2011,8:15:00 AM,0,33.5,35.1
11/12/2011,8:30:00 AM,0,32.2,35.6
11/12/2011,8:45:00 AM,0,31,36.2
11/12/2011,9:00:00 AM,0,30.5,36.4
11/12/2011,9:15:00 AM,0,30,36.3
11/12/2011,9:30:00 AM,0,29.2,36.8
11/12/2011,9:45:00 AM,0,28.3,37.1
11/12/2011,10:00:00 AM,0,27.2,37.3
11/12/2011,10:15:00 AM,0,25.7,37.7
11/12/2011,10:30:00 AM,0,25,38
11/12/2011,10:45:00 AM,0,24.3,37.9
11/12/2011,11:00:00 AM,0,23.7,38.6
11/12/2011,11:15:00 AM,0,23.6,38.8
11/12/2011,11:30:00 AM,0,23.5,38.8
11/12/2011,11:45:00 AM,0,23.8,38.2
11/12/2011,12:00:00 PM,0,23.4,38.5
11/12/2011,12:15:00 PM,0,23.5,39
11/12/2011,12:30:00 PM,0,23.1,39.1
11/12/2011,12:45:00 PM,0,24.5,38.3
11/12/2011,1:00:00 PM,0,26.1,37.5
11/12/2011,1:15:00 PM,0,26.2,37.4
11/12/2011,1:30:00 PM,0,25.6,37.6
11/12/2011,1:45:00 PM,0,25.3,37.8
11/12/2011,2:00:00 PM,0,25.3,37.7
11/12/2011,2:15:00 PM,0,25.9,37.2
11/12/2011,2:30:00 PM,0,26.7,36.5
11/12/2011,2:45:00 PM,0,26.8,36.3
11/12/2011,3:00:00 PM,0,27,36
11/12/2011,3:15:00 PM,0,27.2,35.6
11/12/2011,3:30:00 PM,0,27.5,35.2
11/12/2011,3:45:00 PM,0,28.3,34.8
11/12/2011,4:00:00 PM,0,29,34.4
11/12/2011,4:15:00 PM,0,29.7,34
11/12/2011,4:30:00 PM,0,30.2,33.6
11/12/2011,4:45:00 PM,0,30.6,33.3
11/12/2011,5:00:00 PM,0,31,33.1
11/12/2011,5:15:00 PM,0,31.5,32.7
11/12/2011,5:30:00 PM,0,32.1,32.3
11/12/2011,5:45:00 PM,0,32.8,31.9
11/12/2011,6:00:00 PM,0,33.5,31.5
11/12/2011,6:15:00 PM,0,33.2,31.7
11/12/2011,6:30:00 PM,0,32.8,31.9
11/12/2011,6:45:00 PM,0,32.8,31.7
11/12/2011,7:00:00 PM,0,33.1,31.4
11/12/2011,7:15:00 PM,0,33.9,30.8
11/12/2011,7:30:00 PM,0,34.4,30.5
11/12/2011,7:45:00 PM,0,34.5,30.3
11/12/2011,8:00:00 PM,0,34.6,30.1
11/12/2011,8:15:00 PM,0,34.8,29.9
11/12/2011,8:30:00 PM,0,35.2,29.7
11/12/2011,8:45:00 PM,0,35.7,29.6
11/12/2011,9:00:00 PM,0,36.4,29.3
11/12/2011,9:15:00 PM,0,37.2,29
11/12/2011,9:30:00 PM,0,38.3,29.1
11/12/2011,9:45:00 PM,0,39.2,29.1
11/12/2011,10:00:00 PM,0,39.6,29.2
11/12/2011,10:15:00 PM,0,40.6,28.7
11/12/2011,10:30:00 PM,0,41.7,28.1
11/12/2011,10:45:00 PM,0,42.7,27.8
11/12/2011,11:00:00 PM,0,43.2,28.1
11/12/2011,11:15:00 PM,0,44.2,27.6
11/12/2011,11:30:00 PM,0,45.2,27.3
11/12/2011,11:45:00 PM,0,45.6,27.3
11/13/2011,12:00:00 AM,0,45.8,27.4
11/13/2011,12:15:00 AM,0,46.4,27
11/13/2011,12:30:00 AM,0,47.5,26.7
11/13/2011,12:45:00 AM,0,48.2,26.4
11/13/2011,1:00:00 AM,0,49.3,26.4
11/13/2011,1:15:00 AM,0,50.1,26
11/13/2011,1:30:00 AM,0,51.6,25.6
11/13/2011,1:45:00 AM,0,53.3,25.3
11/13/2011,2:00:00 AM,0,56.9,24.9
