Date,Time,Precipitation (mm),Relative Humidity (% RH),Temperature (?C)
1/18/2017,9:15 PM,0,*,*
1/18/2017,9:30 PM,0,76.5,10.5
1/18/2017,9:45 PM,0,79.9,9.8
1/18/2017,10:00 PM,0,82.2,9.6
1/18/2017,10:15 PM,0,85.7,9.2
1/18/2017,10:30 PM,0,84.9,9
1/18/2017,10:45 PM,0,89.5,8.8
1/18/2017,11:00 PM,0,91.1,8.2
1/18/2017,11:15 PM,0,91.6,8
1/18/2017,11:30 PM,0,92.9,7.8
1/18/2017,11:45 PM,0,91.7,7.7
1/19/2017,12:00 AM,0,90.8,7.3
1/19/2017,12:15 AM,0,89.9,7.5
1/19/2017,12:30 AM,0,91.3,7.3
1/19/2017,12:45 AM,0,92.6,6.9
1/19/2017,1:00 AM,0,93.9,6.9
1/19/2017,1:15 AM,0,93.7,6.8
1/19/2017,1:30 AM,0,94.7,6.7
1/19/2017,1:45 AM,0,94.2,6.4
1/19/2017,2:00 AM,0,94.6,6.2
1/19/2017,2:15 AM,0,97.1,5.9
1/19/2017,2:30 AM,0,96.8,5.3
1/19/2017,2:45 AM,0,98,5.4
1/19/2017,3:00 AM,0,98.1,5.6
1/19/2017,3:15 AM,0,98.5,5.3
1/19/2017,3:30 AM,0,100,5.4
1/19/2017,3:45 AM,0,98.4,5
1/19/2017,4:00 AM,0,99.4,5.1
1/19/2017,4:15 AM,0,100,5
1/19/2017,4:30 AM,0,100,4.5
1/19/2017,4:45 AM,0,100,4.3
1/19/2017,5:00 AM,0,100,4.2
1/19/2017,5:15 AM,0,100,4.2
1/19/2017,5:30 AM,0,100,4.2
1/19/2017,5:45 AM,0,100,3.9
1/19/2017,6:00 AM,0,100,3.7
1/19/2017,6:15 AM,0,100,3.6
1/19/2017,6:30 AM,0,100,3.7
1/19/2017,6:45 AM,0,100,3.3
1/19/2017,7:00 AM,0,100,3.3
1/19/2017,7:15 AM,0,100,3.4
1/19/2017,7:30 AM,0,100,3.8
1/19/2017,7:45 AM,0,100,4.7
1/19/2017,8:00 AM,0,100,5.7
1/19/2017,8:15 AM,0,98.2,7.1
1/19/2017,8:30 AM,0,91.2,8.6
1/19/2017,8:45 AM,0,84,10.3
1/19/2017,9:00 AM,0,73.3,12.7
1/19/2017,9:15 AM,0,65.7,14.4
1/19/2017,9:30 AM,0,56.6,16.6
1/19/2017,9:45 AM,0,50,18.2
1/19/2017,10:00 AM,0,42,20
1/19/2017,10:15 AM,0,39.2,21.1
1/19/2017,10:30 AM,0,37.3,21.6
1/19/2017,10:45 AM,0,34.6,22.7
1/19/2017,11:00 AM,0,32.7,23.9
1/19/2017,11:15 AM,0,29.7,25
1/19/2017,11:30 AM,0,28.4,25.8
1/19/2017,11:45 AM,0,27.8,26.5
1/19/2017,12:00 PM,0,26.5,27
1/19/2017,12:15 PM,0,25.2,27.6
1/19/2017,12:30 PM,0,25.1,27.7
1/19/2017,12:45 PM,0,24.3,28.4
1/19/2017,1:00 PM,0,24.2,28.3
1/19/2017,1:15 PM,0,24.8,29
1/19/2017,1:30 PM,0,25,28.8
1/19/2017,1:45 PM,0,24.7,28.8
1/19/2017,2:00 PM,0,22.9,29.8
1/19/2017,2:15 PM,0,22.8,29.4
1/19/2017,2:30 PM,0,22.4,29.6
1/19/2017,2:45 PM,0,22.5,29.6
1/19/2017,3:00 PM,0,21.8,30.3
1/19/2017,3:15 PM,0,22,30.5
1/19/2017,3:30 PM,0,24.8,28.8
1/19/2017,3:45 PM,0,26.5,27.8
1/19/2017,4:00 PM,0,25.1,28.1
1/19/2017,4:15 PM,0,22.9,29.5
1/19/2017,4:30 PM,0,23.7,29.4
1/19/2017,4:45 PM,0,23.6,29.3
1/19/2017,5:00 PM,0,24.2,29
1/19/2017,5:15 PM,0,22.5,29.5
1/19/2017,5:30 PM,0,23,29.3
1/19/2017,5:45 PM,0,23.9,28.8
1/19/2017,6:00 PM,0,30.1,27.3
1/19/2017,6:15 PM,0,32.5,25.9
1/19/2017,6:30 PM,0,39.1,23.8
1/19/2017,6:45 PM,0,46.9,21.6
1/19/2017,7:00 PM,0,53.8,19.8
1/19/2017,7:15 PM,0,59.8,18.5
1/19/2017,7:30 PM,0,64,17.4
1/19/2017,7:45 PM,0,65.9,16.6
1/19/2017,8:00 PM,0,68.9,16
1/19/2017,8:15 PM,0,71.9,15
1/19/2017,8:30 PM,0,75.5,14.4
1/19/2017,8:45 PM,0,75.6,14
1/19/2017,9:00 PM,0,78.4,13.6
1/19/2017,9:15 PM,0,81.3,12.7
1/19/2017,9:30 PM,0,83.5,12.1
1/19/2017,9:45 PM,0,87.1,11.7
1/19/2017,10:00 PM,0,88.3,11.2
1/19/2017,10:15 PM,0,87.7,10.6
1/19/2017,10:30 PM,0,92,10.5
1/19/2017,10:45 PM,0,91.7,10.1
1/19/2017,11:00 PM,0,94,9.8
1/19/2017,11:15 PM,0,92.5,9.6
1/19/2017,11:30 PM,0,96.2,9.1
1/19/2017,11:45 PM,0,96.4,8.6
1/20/2017,12:00 AM,0,94.3,8.2
1/20/2017,12:15 AM,0,96.9,8.1
1/20/2017,12:30 AM,0,99.8,7.9
1/20/2017,12:45 AM,0,99.7,7.6
1/20/2017,1:00 AM,0,98.9,7.3
1/20/2017,1:15 AM,0,99.9,7.2
1/20/2017,1:30 AM,0,100,7.1
1/20/2017,1:45 AM,0,100,6.9
1/20/2017,2:00 AM,0,100,7
1/20/2017,2:15 AM,0,100,6.6
1/20/2017,2:30 AM,0,100,5.9
1/20/2017,2:45 AM,0,100,6.4
1/20/2017,3:00 AM,0,100,6.4
1/20/2017,3:15 AM,0,100,5.9
1/20/2017,3:30 AM,0,100,6.1
1/20/2017,3:45 AM,0,100,5.8
1/20/2017,4:00 AM,0,100,5.8
1/20/2017,4:15 AM,0,100,5.7
1/20/2017,4:30 AM,0,100,5.5
1/20/2017,4:45 AM,0,100,5.2
1/20/2017,5:00 AM,0,100,5.3
1/20/2017,5:15 AM,0,100,5
1/20/2017,5:30 AM,0,100,5.2
1/20/2017,5:45 AM,0,100,4.8
1/20/2017,6:00 AM,0,100,4.6
1/20/2017,6:15 AM,0,100,4.6
1/20/2017,6:30 AM,0,100,4.7
1/20/2017,6:45 AM,0,100,4.5
1/20/2017,7:00 AM,0,100,4.4
1/20/2017,7:15 AM,0,100,4.3
1/20/2017,7:30 AM,0,100,4.5
1/20/2017,7:45 AM,0,100,5.3
1/20/2017,8:00 AM,0,100,6.1
1/20/2017,8:15 AM,0,100,7.2
1/20/2017,8:30 AM,0,99.8,8.4
1/20/2017,8:45 AM,0,96.4,9.7
1/20/2017,9:00 AM,0,84.2,11.8
1/20/2017,9:15 AM,0,70.9,14.1
1/20/2017,9:30 AM,0,64.2,16
1/20/2017,9:45 AM,0,59.7,16.9
1/20/2017,10:00 AM,0,54.5,18.7
1/20/2017,10:15 AM,0,46.9,20.6
1/20/2017,10:30 AM,0,43.3,21.8
1/20/2017,10:45 AM,0,39.8,22.7
1/20/2017,11:00 AM,0,34.3,24.6
1/20/2017,11:15 AM,0,29.6,25.4
1/20/2017,11:30 AM,0,29.7,26.2
1/20/2017,11:45 AM,0,28.5,27.3
1/20/2017,12:00 PM,0,27.9,28
1/20/2017,12:15 PM,0,26.6,28.4
1/20/2017,12:30 PM,0,26.2,28.4
1/20/2017,12:45 PM,0,26.1,28.4
1/20/2017,1:00 PM,0,25.3,28.8
1/20/2017,1:15 PM,0,23.9,29.3
1/20/2017,1:30 PM,0,23.2,29.4
1/20/2017,1:45 PM,0,21.8,29.5
1/20/2017,2:00 PM,0,19.7,30
1/20/2017,2:15 PM,0,18.7,30.6
1/20/2017,2:30 PM,0,19.5,30.9
1/20/2017,2:45 PM,0,19.9,30.4
1/20/2017,3:00 PM,0,19.9,30.5
1/20/2017,3:15 PM,0,20.3,30.5
1/20/2017,3:30 PM,0,20.3,30.3
1/20/2017,3:45 PM,0,20.3,30.4
1/20/2017,4:00 PM,0,21.1,30.1
1/20/2017,4:15 PM,0,20.8,30.6
1/20/2017,4:30 PM,0,20.8,30.5
1/20/2017,4:45 PM,0,22.3,29.9
1/20/2017,5:00 PM,0,22.2,29.7
1/20/2017,5:15 PM,0,22.1,29.7
1/20/2017,5:30 PM,0,22.8,29.4
1/20/2017,5:45 PM,0,25.5,29.1
1/20/2017,6:00 PM,0,26.7,28
1/20/2017,6:15 PM,0,34.7,26
1/20/2017,6:30 PM,0,41,24.2
